feature,importance
PCA__curvature__mean__min,0.0006899414612180571
Acom__curvature__mean__mean,0.0006864300604677134
Pcom__curvature__q3__mean,0.0006789757293963506
BA__curvature__mean__mean,0.0006781220142714913
ICA__curvature__median__min,0.0006777740519429338
MCA__radius__mean__max,0.0006724152792913252
PCA__curvature__sd__mean,0.0006719140647712081
P1__radius__mean__min,0.0006709099227791779
Acom__volume__max,0.0006702124789877793
BA__volume__min,0.0006688262717674481
C7__radius__mean__mean,0.000667358506337006
P2__curvature__q1__min,0.0006668735686178359
P2__curvature__q3__min,0.0006667878182121057
BA__radius__q3__min,0.0006647925739138884
MCA__radius__min__mean,0.0006580820497189252
ACA__curvature__mean__mean,0.0006541375291375294
P1__radius__median__max,0.0006528501157407405
BA__radius__sd__min,0.000650142365791894
A1__radius__q1__mean,0.0006464904802500713
ACA__radius__min__max,0.0006435926773455382
ACA__radius__sd__max,0.0006391866330390929
A1__volume__min,0.0006351689375562057
MCA__curvature__median__max,0.000634920634920635
Acom_bifurcation__angles__A2/Acom__max,0.000633021317671371
P1__curvature__q3__max,0.0006325915836785409
A2__radius__max__mean,0.0006319056187477237
P2__curvature__max__mean,0.0006300403225806451
Acom__curvature__max__mean,0.0006273381705442712
P2__radius__mean__max,0.0006243850846123572
MCA__curvature__max__min,0.0006207418140933691
A1__radius__q3__max,0.0006188361634340815
C6__curvature__sd__max,0.0006186868686868688
MCA__curvature__q1__mean,0.0006178747361013375
A2__radius__max__max,0.0006172560424981728
MCA__volume__min,0.0006139367341697844
A1__radius__q3__min,0.0006087603519668742
PCA__tortuosity__min,0.0006058751392725044
MCA__curvature__sd__max,0.0006036808878932893
A2__radius__q1__min,0.0005993536796780928
P1__curvature__mean__max,0.0005979085252982309
MCA__curvature__mean__min,0.0005918572472848784
A2__curvature__q1__max,0.0005893665073352575
Pcom__radius__sd__count,0.0005852842809364547
P1__length__mean,0.0005852497877108808
PCA__length__min,0.0005828820184343073
C7__curvature__min__mean,0.0005821824568581004
P1__radius__mean__mean,0.0005794004480810439
Pcom__tortuosity__count,0.0005784501642935378
C7__curvature__max__max,0.0005769230769230767
C6__radius__sd__min,0.0005747284630263354
A2__radius__min__mean,0.0005738366236175723
3rd-A2__curvature__mean__count,0.0005726173336871931
P2__curvature__min__min,0.0005651525761819892
ACA__curvature__min__max,0.0005642176309011245
MCA__volume__max,0.0005631790405312967
C6__curvature__q1__max,0.0005619011869011865
Pcom_bifurcation__angles__P1/P2__min,0.0005608370939381391
ICA__curvature__q3__max,0.0005601415094339625
P1__curvature__sd__min,0.0005601415094339622
Pcom__curvature__min__max,0.0005583889302066078
Acom__tortuosity__mean,0.0005558635131805866
ICA_bifurcation__bifurcation__points_angle__max,0.0005549648668639054
Pcom__curvature__mean__count,0.0005544354838709683
Pcom_bifurcation__angles__C7/Pcom__count,0.0005544354838709679
Pcom__curvature__min__count,0.0005544354838709677
Acom__curvature__median__mean,0.000553636569261569
PCA__radius__q1__min,0.0005523717057543524
P1__curvature__max__max,0.0005518680701723549
ACA__tortuosity__min,0.0005511681182090222
C6__curvature__q3__max,0.0005453858416197667
P2__curvature__min__mean,0.0005429440294636375
C6__tortuosity__min,0.0005425902244955959
C7__curvature__mean__min,0.0005414018555044194
ICA_bifurcation__angles__ICA/ACA__min,0.0005384395744950467
C6__curvature__sd__min,0.000537049161678608
BA_bifurcation__bifurcation__radius_child2__count,0.0005357142857142856
ICA_bifurcation__bifurcation__radius_child1__mean,0.0005356737113167225
BA__radius__max__mean,0.0005325443786982248
ICA_bifurcation__bifurcation__radius_child1__min,0.0005304881140890963
ICA_bifurcation__bifurcation__radius_child2__max,0.0005274971941638622
Acom_bifurcation__bifurcation__points_angle__max,0.0005259395424836603
P2__radius__max__max,0.0005172463269054181
PCA__curvature__median__min,0.0005159708146510252
BA__length__max,0.0005121020142949966
PCA__curvature__median__mean,0.0005080503787400343
MCA__curvature__q3__mean,0.000507519256550462
BA__curvature__sd__min,0.0005061223549847354
PCA__curvature__q3__mean,0.0005059306100972768
ICA_bifurcation__angles__ICA/ACA__max,0.0005041362464131346
P2__length__min,0.0005026973752463942
C7__curvature__q3__min,0.0004973838561790062
ACA__radius__min__mean,0.000496707467734684
A2__curvature__min__max,0.0004957290877620557
P1__curvature__median__max,0.0004950054734537495
ICA_bifurcation__ratios__area sum__mean,0.0004934699942875812
ACA__radius__q3__max,0.0004924242424242426
MCA__radius__sd__mean,0.0004906935171257795
C6__radius__median__max,0.0004896763392857146
A2__radius__q1__max,0.0004880932559503984
Pcom_bifurcation__angles__P1/P2__max,0.00048770427404148313
P1__curvature__mean__mean,0.00048363095238095294
A1__radius__mean__min,0.00047888644330317106
BA__curvature__q1__max,0.00047793320728147426
A1__radius__q1__max,0.0004772089070816017
C6__radius__q3__max,0.0004753557723057257
P1__volume__mean,0.0004705598455598455
Pcom__curvature__mean__min,0.0004684730153705193
Pcom__curvature__max__mean,0.00046733344880688435
A1__curvature__max__max,0.00046463167417670206
MCA__curvature__q1__max,0.00046223780937403264
ICA_bifurcation__ratios__area sum__max,0.0004618577075098804
Pcom__radius__sd__min,0.000460413429163429
BA__curvature__median__max,0.00045898437500000035
P2__curvature__median__mean,0.00045898437499999954
C7__radius__q1__min,0.000453317901234569
Pcom__radius__median__count,0.0004528985507246378
Pcom_bifurcation__bifurcation__dist_angle__count,0.0004528985507246378
C7__curvature__q1__mean,0.00045036764705882353
P1__radius__mean__max,0.0004485969456899687
Acom__curvature__q3__max,0.0004479591408194743
A1__radius__min__min,0.00044498802694704784
A2__radius__q1__mean,0.0004446641813663088
BA_bifurcation__ratios__area sum__min,0.0004397806337921194
ACA__radius__max__max,0.00043962385270979155
ACA__radius__mean__mean,0.00043512658227848143
P2__radius__min__mean,0.00043487141233304935
Acom__radius__q3__mean,0.0004345878136200725
A2__radius__max__min,0.0004341859287994719
P1__curvature__sd__max,0.0004333038935820257
Pcom__curvature__median__mean,0.0004270186335403724
Acom__radius__mean__min,0.00042435276244153023
ICA_bifurcation__bifurcation__radius_parent__max,0.00042416225749559116
Acom__radius__min__mean,0.0004239510489510489
A2__curvature__sd__min,0.0004187582898085329
Acom__curvature__min__min,0.000418668668668668
ACA__radius__sd__min,0.00041727103087551876
C7__curvature__q3__mean,0.0004138120110342331
C7__radius__sd__min,0.00041338017446173545
3rd-A2__curvature__q3__mean,0.00041268031830425314
C7__volume__mean,0.0004036050156739816
C7__curvature__q3__max,0.000401306240928882
P2__curvature__mean__max,0.000400199739873652
PCA__radius__sd__mean,0.000398598486467778
A2__curvature__sd__max,0.00039769696650407963
C7__curvature__q1__max,0.0003940442678743043
Pcom__curvature__sd__mean,0.0003939029720279725
P2__curvature__sd__mean,0.0003919128919128917
A2__curvature__max__min,0.0003908386111918416
ACA__curvature__q1__mean,0.00039046157535740824
ICA__radius__sd__max,0.00038951212739628775
Pcom__curvature__sd__count,0.0003877171215880895
C6__curvature__q1__mean,0.0003805043522785467
C6__curvature__min__max,0.00037540360599160397
BA__curvature__min__max,0.0003723246394242305
BA__tortuosity__min,0.00037219565140267363
A1__radius__sd__min,0.00037000896290513807
3rd-A2__volume__max,0.00036925042944580666
P2__curvature__median__max,0.00036800979396088107
P2__radius__q1__min,0.0003665413533834586
A1__curvature__q3__max,0.0003626543209876541
Pcom__radius__min__count,0.00036130889259203123
Acom__length__max,0.0003590969215969217
A2__radius__median__min,0.00035731159933853076
3rd-A2__length__mean,0.00035544473044473037
A2__curvature__mean__max,0.0003518518518518515
ICA__curvature__q3__min,0.00034844684301206026
Pcom__curvature__min__min,0.00034544159544159765
ICA_bifurcation__bifurcation__dist_radius__min,0.00034376251686535114
Acom__curvature__sd__mean,0.0003427419354838706
Acom__curvature__q3__min,0.00034219741531566427
Acom__curvature__mean__max,0.00034159159159159166
MCA__radius__median__max,0.00034040671971706407
Pcom__curvature__q3__max,0.00033887468030690567
3rd-A2__radius__sd__mean,0.00033869914944830104
MCA__length__min,0.00033740806996620935
A1__volume__max,0.00033613445378151267
Pcom__curvature__q1__mean,0.00033613445378151223
C7__curvature__sd__min,0.0003349868756762356
C6__curvature__median__min,0.00033225370502793406
ICA__radius__mean__min,0.00032692307692307675
MCA__curvature__mean__max,0.00032513661202185703
MCA__curvature__sd__mean,0.0003243063607634507
P1__radius__median__min,0.00032414156670460833
A2__radius__q3__mean,0.0003200470838038772
PCA__radius__median__mean,0.0003174603174603168
P2__length__max,0.0003137850885034861
A1__radius__median__min,0.0003136488970588236
A1__radius__median__mean,0.0003135146103896103
A1__curvature__max__min,0.00031191259398496225
Acom__curvature__sd__max,0.0003082818193741906
ACA__radius__max__mean,0.0003080098436135587
Acom_bifurcation__angles__A1/Acom__min,0.0003060064935064934
ICA__radius__max__min,0.0003056085261462847
P2__curvature__mean__min,0.00030364093713278526
ICA_bifurcation__bifurcation__dist_radius__max,0.00030356109457672047
Acom__curvature__max__min,0.0003030730797529224
MCA__curvature__max__mean,0.0002987012987012983
MCA__radius__sd__max,0.0002977491258741264
Acom__radius__median__min,0.0002972560975609757
ICA__curvature__sd__mean,0.0002960927960927957
P2__curvature__q1__mean,0.0002935407413502056
ICA_bifurcation__ratios__radius sum__mean,0.0002909588243311896
ICA__curvature__mean__mean,0.0002901827774637272
Pcom__curvature__max__count,0.00029017857142857166
A2__radius__sd__min,0.00028988105911182787
Acom__curvature__mean__min,0.00028970785549732917
P2__curvature__q3__max,0.00028375559625559623
P1__curvature__q1__min,0.0002811153307476841
PCA__radius__sd__min,0.0002807395644283118
Pcom__curvature__q1__max,0.00028040506353970546
Acom__volume__min,0.00027901785714285734
A2__curvature__q3__max,0.00027797202797202777
P1__curvature__q3__mean,0.0002755278010033458
MCA__tortuosity__mean,0.00027516233766233697
BA__curvature__median__min,0.00027499688397631425
3rd-A2__curvature__mean__max,0.0002748792763683492
3rd-A2__curvature__q1__count,0.00027432126696832587
MCA__radius__q3__max,0.0002743212669683258
C7__curvature__min__min,0.00027246272343814506
PCA__length__max,0.00027242234093507566
BA__curvature__q1__min,0.00026887947596902805
A2__radius__median__mean,0.0002678571428571424
Pcom__curvature__max__max,0.0002677884924261731
Pcom_bifurcation__angles__P1/Pcom__min,0.00026639344262295117
C7__radius__q1__mean,0.000266393442622951
ICA_bifurcation__bifurcation__points_angle__min,0.00026639344262295085
C7__radius__max__max,0.00026639344262295047
C7__radius__min__min,0.00026472431077694236
P1__curvature__min__mean,0.00026168373879641404
ACA__curvature__min__min,0.0002615694164989939
PCA__curvature__q1__min,0.00025878026364723307
PCA__curvature__max__min,0.0002581885026737971
ACA__curvature__q1__max,0.0002569298101964976
P1__curvature__max__mean,0.0002541300611153561
C6__volume__mean,0.0002530413863245198
Pcom__length__max,0.00025273677546861043
Acom__radius__mean__mean,0.000250135666802333
MCA__radius__q1__min,0.0002497465693752168
A2__radius__min__min,0.0002495421245421245
C6__curvature__max__max,0.000249287749287749
ICA__radius__mean__mean,0.0002489406779661012
BA_bifurcation__bifurcation__points_angle__std,0.0002472643097643104
ICA__volume__min,0.0002472643097643102
